"File","Line","Name","Primary","Secondary","Status","Note"
"AllPayAuction.lean","23","allPay_overbid_unprofitable","B9","B0","R","incentive/inequality transport"
"AllPayAuction.lean","31","allPay_winner_profit","B9","B0","R","incentive/inequality transport"
"AllPayAuction.lean","38","allPay_rent_dissipation","B9","B0","R","incentive/inequality transport"
"AllPayAuction.lean","45","allPay_symmetric_negative","B9","B0","R","incentive/inequality transport"
"Auction.lean","116","auctionGame_ic_isNash","B9","B0","R","incentive/inequality transport"
"IndividualRationality.lean","23","IsIndividuallyRational.mono","B9","B0","R","incentive/inequality transport"
"IndividualRationality.lean","30","IsIndividuallyRational.of_pareto_dominates","B0","B9","R","relation closure / implication transport"
"IndividualRationality.lean","36","IsIndividuallyRational.sup","B9","B0","R","incentive/inequality transport"
"Matching.lean","65","empty_isMatching","B0","B9","R","relation closure / implication transport"
"Matching.lean","69","empty_stable_if_all_prefer_unmatched","B0","B9","R","relation closure / implication transport"
"Matching.lean","81","stable_respects_mutual_top","B0","B9","R","relation closure / implication transport"
"Matching.lean","102","stable_ir","B0","B9","R","relation closure / implication transport"
"MechanismDesign.lean","57","isIC_implies_isBIC","B5","B9","R","predicate-preservation under representation/axiom interface"
"MechanismDesign.lean","84","isIC_implies_truthful_bayesNash","B5","B9","R","predicate-preservation under representation/axiom interface"
"MechanismDesign.lean","108","isBIC_of_truthful_bayesNash","B5","B9","R","predicate-preservation under representation/axiom interface"
"PublicGoods.lean","26","publicGoods_freeRide_dominant","B9","B0","R","incentive/inequality transport"
"PublicGoods.lean","58","publicGoods_cooperation_pareto","B0","B9","R","relation closure / implication transport"
"RevelationPrinciple.lean","79","revelation_principle","B5","B9","R","representation/communication-form translation"
"SocialChoice.lean","66","dictator_isDictatorial","B5","B9","R","predicate-preservation under representation/axiom interface"
"SocialChoice.lean","70","dictatorial_isPareto","B5","B9","R","predicate-preservation under representation/axiom interface"
"SocialChoice.lean","75","dictatorial_isIIA","B5","B9","R","predicate-preservation under representation/axiom interface"
"SocialChoice.lean","85","unanimity_isPareto","B5","B9","R","predicate-preservation under representation/axiom interface"
"SocialChoice.lean","92","unanimity_isIIA","B5","B9","R","predicate-preservation under representation/axiom interface"
"VCG.lean","66","trueUtility_eq","B9","B0","R","incentive/inequality transport"
"VCG.lean","79","vcg_truthful","B9","B0","R","incentive/inequality transport"
"VickreyAuction.lean","33","maxOtherBid_update_self","B0","B2","R","finite-index update algebra"
"VickreyAuction.lean","52","vickrey_truthful_dominant","B9","B6","R","truthfulness-to-dominance transfer"
"VickreyAuction.lean","77","vickrey_truthful_isDominant","B9","B6","R","truthfulness-to-dominance transfer"
"VickreyAuction.lean","85","vickrey_truthful_isNash","B9","B6","R","truthfulness-to-dominance transfer"
