"File","Line","Name","Primary","Secondary","Status","Note"
"ConstantSum.lean","26","IsConstantSum.socialWelfare_eq","B9","B0","R","algebraic relation between objective functionals"
"ConstantSum.lean","40","IsConstantSum.eu_determined","B9","B0","R","algebraic relation between objective functionals"
"ConstantSum.lean","49","IsZeroSum.isConstantSum_zero","B9","B0","R","algebraic relation between objective functionals"
"ConstantSum.lean","57","IsConstantSum.nash_eu_eq","B9","B0","R","algebraic relation between objective functionals"
"Minimax.lean","28","Guarantees.mono","B9","B0","R","order monotonicity transfer"
"Minimax.lean","41","isSaddlePoint_iff_isNash","B0","B9","R","predicate equivalence via finite-index decomposition"
"MinimaxTheorem.lean","117","IsZeroSum.nash_interchangeable","B7","B9","R","value recursion / extremal inequality"
"MinimaxTheorem.lean","31","mixedExtension_isZeroSum","B9","B0","R","algebraic relation between objective functionals"
"MinimaxTheorem.lean","44","IsZeroSum.nash_p0_optimal","B9","B0","R","zero-sum sign rewrite plus Nash inequality"
"MinimaxTheorem.lean","54","nash_p0_cap","B9","B0","R","direct no-improving-deviation inequality"
"MinimaxTheorem.lean","63","IsZeroSum.nash_eu_eq","B9","B0","R","algebraic relation between objective functionals"
"MinimaxTheorem.lean","93","von_neumann_minimax","B7","B9","R","value recursion / extremal inequality"
"ParetoOptimal.lean","10","ParetoDominates.irrefl","B9","B0","R","algebraic relation between objective functionals"
"ParetoOptimal.lean","17","ParetoDominates.asymm","B9","B0","R","algebraic relation between objective functionals"
"PriceOfAnarchy.lean","100","worstNashWelfare_le_bestNashWelfare","B9","B0","R","algebraic relation between objective functionals"
"PriceOfAnarchy.lean","111","bestNashWelfare_le_optimalWelfare","B9","B0","R","supremum comparison via pointwise bound"
"PriceOfAnarchy.lean","40","welfare_le_optimal","B9","B0","R","supremum upper-bound transfer"
"PriceOfAnarchy.lean","46","IsTeamGame.pareto_isNash","B9","B0","R","algebraic relation between objective functionals"
"TeamGame.lean","30","IsTeamGame.eu_eq","B9","B0","R","algebraic relation between objective functionals"
"TeamGame.lean","40","IsTeamGame.eu_eq_update","B9","B0","R","algebraic relation between objective functionals"
"TeamGame.lean","54","IsTeamGame.nash_deviation_nonimproving","B9","B0","R","algebraic relation between objective functionals"
"WelfareTheorems.lean","28","IsTeamGame.socialWelfare_eq","B9","B0","R","algebraic relation between objective functionals"
"WelfareTheorems.lean","37","socialWelfare_nonneg_of_nonneg_eu","B9","B0","R","algebraic relation between objective functionals"
"ZeroSum.lean","24","IsZeroSum.socialWelfare_eq_zero","B9","B0","R","algebraic relation between objective functionals"
"ZeroSum.lean","35","IsZeroSum.eu_neg","B9","B0","R","algebraic relation between objective functionals"
