"File","Line","Kind","Name"
"ConstantSum.lean","26","theorem","IsConstantSum.socialWelfare_eq"
"ConstantSum.lean","40","theorem","IsConstantSum.eu_determined"
"ConstantSum.lean","49","theorem","IsZeroSum.isConstantSum_zero"
"ConstantSum.lean","57","theorem","IsConstantSum.nash_eu_eq"
"Minimax.lean","28","theorem","Guarantees.mono"
"Minimax.lean","41","theorem","isSaddlePoint_iff_isNash"
"MinimaxTheorem.lean","31","theorem","mixedExtension_isZeroSum"
"MinimaxTheorem.lean","44","theorem","IsZeroSum.nash_p0_optimal"
"MinimaxTheorem.lean","54","theorem","nash_p0_cap"
"MinimaxTheorem.lean","63","theorem","IsZeroSum.nash_eu_eq"
"MinimaxTheorem.lean","93","theorem","von_neumann_minimax"
"MinimaxTheorem.lean","117","theorem","IsZeroSum.nash_interchangeable"
"ParetoOptimal.lean","10","theorem","ParetoDominates.irrefl"
"ParetoOptimal.lean","17","theorem","ParetoDominates.asymm"
"PriceOfAnarchy.lean","40","theorem","welfare_le_optimal"
"PriceOfAnarchy.lean","46","theorem","IsTeamGame.pareto_isNash"
"PriceOfAnarchy.lean","100","theorem","worstNashWelfare_le_bestNashWelfare"
"PriceOfAnarchy.lean","111","theorem","bestNashWelfare_le_optimalWelfare"
"TeamGame.lean","30","theorem","IsTeamGame.eu_eq"
"TeamGame.lean","40","theorem","IsTeamGame.eu_eq_update"
"TeamGame.lean","54","theorem","IsTeamGame.nash_deviation_nonimproving"
"WelfareTheorems.lean","28","theorem","IsTeamGame.socialWelfare_eq"
"WelfareTheorems.lean","37","theorem","socialWelfare_nonneg_of_nonneg_eu"
"ZeroSum.lean","24","theorem","IsZeroSum.socialWelfare_eq_zero"
"ZeroSum.lean","35","theorem","IsZeroSum.eu_neg"
