"File","Line","Name","Primary","Secondary","Status","Note"
"BestResponse.lean","21","isNash_iff_bestResponse","B0","B9","R","order/preorder algebra"
"BestResponse.lean","34","isNashFor_iff_bestResponseFor","B0","B9","R","order/preorder algebra"
"BestResponse.lean","40","dominant_isBestResponse","B9","B2","R","inequality + local update relation"
"BestResponseDynamics.lean","37","no_improving_deviation_iff_nash","B0","B9","R","order/preorder algebra"
"BestResponseDynamics.lean","53","strictNash_absorbing","B9","B2","R","inequality + local update relation"
"BestResponseDynamics.lean","60","εNash_bounded_improvement","B9","B2","R","inequality + local update relation"
"BestResponseExistence.lean","24","IsBestResponse.exists_of_finite","B9","B2","R","inequality + local update relation"
"BestResponseExistence.lean","32","IsBestResponse.of_nash","B9","B2","R","inequality + local update relation"
"DominanceRelations.lean","24","WeaklyDominates.refl","B0","B9","R","order/preorder algebra"
"DominanceRelations.lean","31","WeaklyDominates.trans","B0","B9","R","order/preorder algebra"
"DominanceRelations.lean","39","StrictlyDominates.toWeaklyDominates","B9","B2","R","inequality + local update relation"
"DominanceRelations.lean","45","StrictlyDominates.trans","B0","B9","R","order/preorder algebra"
"DominanceRelations.lean","54","IsDominant.weaklyDominates","B9","B2","R","inequality + local update relation"
"DominanceSolvability.lean","37","IsDominanceSolvable.isNash","B9","B2","R","inequality + local update relation"
"DominanceSolvability.lean","48","IsDominanceSolvable.nash_unique","B9","B2","R","inequality + local update relation"
"DominanceSolvability.lean","61","IsDominanceSolvable.exists_unique_nash","B9","B2","R","inequality + local update relation"
"DominanceSolvable.lean","25","StrictlyDominates.not_best_response","B9","B2","R","inequality + local update relation"
"DominanceSolvable.lean","35","WeaklyDominates.best_response_of_best_response","B9","B2","R","inequality + local update relation"
"DominanceSolvable.lean","46","nash_never_strictly_dominated","B9","B2","R","inequality + local update relation"
"DominanceSolvable.lean","57","IsDominant.isBestResponse","B9","B2","R","inequality + local update relation"
"PotentialFIP.lean","30","IsExactPotential.eu_diff_eq_potential_diff","B0","B9","R","order/preorder algebra"
"PotentialFIP.lean","45","IsExactPotential.improving_deviation_increases_potential","B9","B2","R","inequality + local update relation"
"PotentialFIP.lean","60","IsExactPotential.no_improving_at_maximizer","B9","B2","R","inequality + local update relation"
"PotentialFIP.lean","72","IsExactPotential.strictNash_of_strict_maximizer","B9","B2","R","inequality + local update relation"
"PotentialFIP.lean","89","IsExactPotential.isNash_iff_local_maximizer","B0","B9","R","order/preorder algebra"
"PotentialFIP.lean","108","IsExactPotential.nash_exists","B9","B2","R","inequality + local update relation"
"PotentialGame.lean","23","IsExactPotential.toOrdinal","B7","B2","R","descent via potential-like measure"
"PotentialGame.lean","39","IsExactPotential.nash_of_maximizer","B9","B2","R","inequality + local update relation"
"PotentialGame.lean","52","IsOrdinalPotential.nash_of_maximizer","B9","B2","R","inequality + local update relation"
"PotentialGame.lean","66","IsOrdinalPotential.isNash_iff_local_maximizer","B0","B9","R","order/preorder algebra"
"PotentialTeam.lean","36","IsTeamGame.isExactPotential","B7","B2","R","descent via potential-like measure"
"PotentialTeam.lean","52","IsTeamGame.nash_iff_local_potential_max","B0","B9","R","order/preorder algebra"
"PotentialTeam.lean","72","IsZeroSum.teamGame_utility_zero","B10","B0","A","adapter or definitional wrapper"
"PotentialWellFounded.lean","35","IsExactPotential.improvingStep_increases_potential","B9","B2","R","inequality + local update relation"
"PotentialWellFounded.lean","47","IsExactPotential.no_infinite_improving_path","B9","B2","R","inequality + local update relation"
"Regret.lean","43","swapRegret_id","B9","B2","R","inequality + local update relation"
"Regret.lean","48","externalRegret_eq_swapRegret_const","B9","B2","R","inequality + local update relation"
"Regret.lean","56","isCorrelatedEq_iff_noSwapRegret","B0","B9","R","order/preorder algebra"
"Regret.lean","61","isCoarseCorrelatedEq_iff_noExternalRegret","B0","B9","R","order/preorder algebra"
"Regret.lean","66","noSwapRegret_imp_noExternalRegret","B9","B2","R","inequality + local update relation"
"StrictDominance.lean","22","IsStrictDominant.toDominant","B9","B2","R","inequality + local update relation"
"StrictDominance.lean","31","strictly_dominant_is_nash","B9","B2","R","inequality + local update relation"
"StrictDominance.lean","37","strictly_dominant_unique_nash","B9","B2","R","inequality + local update relation"
